context,question,answer,source_doc,groundedness_score,groundedness_eval,relevance_score,relevance_eval,standalone_score,standalone_eval
"### `To use the type as a Parameter, please correct the detach() semantics defined by __torch_dispatch__() implementation.`

Use the latest version of `accelerate` with a command such as: `pip install -U accelerate` and the problem should be solved.

### `Parameter has no attribue .CB`

Same solution as above.

### `RuntimeError: CUDA error: an illegal memory access was encountered ... consider passing CUDA_LAUNCH_BLOCKING=1`

Run your script by pre-pending `CUDA_LAUNCH_BLOCKING=1` and you should observe an error as described in the next section.

### `CUDA illegal memory error: an illegal memory access at line...`:

Check the CUDA verisons with:
```
nvcc --version
```
and confirm it is the same version as the one detected by `bitsandbytes`. If not, run:
```
ls -l $CONDA_PREFIX/lib/libcudart.so
```
or
```
ls -l $LD_LIBRARY_PATH
```
Check if `libcudart.so` has a correct symlink that is set. Sometimes `nvcc` detects the correct CUDA version but `bitsandbytes` doesn't. You have to make sure that the symlink that is set for the file `libcudart.so` is redirected to the correct CUDA file.

Here is an example of a badly configured CUDA installation:

`nvcc --version` gives:

![Screenshot 2022-08-15 at 15.12.23.png](https://cdn-uploads.huggingface.co/production/uploads/1660569220888-62441d1d9fdefb55a0b7d12c.png)

which means that the detected CUDA version is 11.3 but `bitsandbytes` outputs:

![image.png](https://cdn-uploads.huggingface.co/production/uploads/1660569284243-62441d1d9fdefb55a0b7d12c.png)

First check:

```bash
echo $LD_LIBRARY_PATH
```

If this contains multiple paths separated by `:`. Then you have to make sure that the correct CUDA version is set. By doing:

```bash
ls -l $path/libcudart.so
```

On each path (`$path`) separated by `:`.
If not, simply run
```bash
ls -l $LD_LIBRARY_PATH/libcudart.so
```

and you can see","How to solve the issue of ""Parameter has no attribute .CB""?
",Use the latest version of `accelerate` with a command such as: `pip install -U accelerate`.,huggingface/transformers/blob/main/tests/quantization/bnb/README.md,4.0,"The question is about a specific error message ""Parameter has no attribute .CB"" and the context provides troubleshooting steps for other unrelated errors. However, one of the sections in the context mentions that using the latest version of `accelerate` with pip install may solve the issue. This section seems relevant to the question.

",4.0,"This question appears to be related to a specific error encountered while using the Hugging Face ecosystem, likely involving the Transformers library. The question is clear and concise, providing context about the issue with a parameter not having an attribute called "".CB"". This level of detail suggests that the question is well-researched and specifically targets a common problem area for developers working within the Hugging Face framework.

",5.0,"This question makes sense by itself, as it describes a specific error message (""Parameter has no attribute .CB"") that needs to be addressed. The context in which this error occurs is not specified, and an operator with general knowledge of programming principles would likely understand what the question is asking.

"
"### Step 2: Building the `xxxLayerBetterTransformer` module

Check that the identified module is not already copied from another module (by inspecting the source code in [`transformers`](https://github.com/huggingface/transformers) and checking that the class definition does not start with `# Copied from ...`) - and if not, create a class in `bettertransformer/models/encoder_model.py`.
Start with those lines:
```python
import torch
import torch.nn as nn

from ..base import BetterTransformerBaseLayer


class BertLayerBetterTransformer(BetterTransformerBaseLayer):
    def __init__(self, bert_layer, config):
...
```

Now, make sure to fill all the necessary attributes, the list of attributes are:

- `in_proj_weight`
- `in_proj_bias`
- `out_proj_weight`
- `out_proj_bias`
- `linear1_weight`
- `linear1_bias`
- `linear2_weight`
- `linear2_bias`
- `norm1_eps`
- `norm1_weight`
- `norm1_bias`
- `norm2_weight`
- `norm2_bias`
- `num_heads`
- `embed_dim`

Note that these attributes correspond to all the components that are necessary to run a Transformer Encoder module, check the figure 1 on the [""Attention Is All You Need""](https://arxiv.org/pdf/1706.03762.pdf) paper.

Once you filled all these attributes (sometimes the `query`, `key` and `value` layers needs to be ""contigufied"", check the [`modeling_encoder.py`](https://github.com/huggingface/optimum/blob/main/optimum/bettertransformer/models/encoder_models.py) file to understand more.)

Make sure also to add the lines:
```python
self.is_last_layer = False
self.validate_bettertransformer()
```


### Step 3: Building the forward pass

First of all, start with the line `super().forward_checker()`, this is needed so that the parent class can run all the safety checkers before.","What are the required attributes for a Transformer Encoder module?
","in_proj_weight, in_proj_bias, out_proj_weight, out_proj_bias, linear1_weight, linear1_bias, linear2_weight, linear2_bias, norm1_eps, norm1_weight, norm1_bias, norm2_weight, num_heads, embed_dim, is_last_layer",huggingface/optimum/blob/main/docs/source/bettertransformer/tutorials/contribute.mdx,4.0,"The context provides a clear instruction on building a Transformer Encoder module, specifically focusing on the `BertLayerBetterTransformer` class. It mentions the necessary attributes required for the module, which are listed in detail, and points to the relevant paper [""Attention Is All You Need""](https://arxiv.org/pdf/1706.03762.pdf) for understanding the components of a Transformer Encoder module. However, it does not explicitly mention how these attributes should be initialized or used in the forward pass.

",5.0,"The question is clear and specific about the requirements of a Transformer Encoder module, which is a crucial component of many NLP models. This makes it potentially very useful to machine learning developers building NLP applications with the Hugging Face ecosystem.
",5.0,"The question asks about the required attributes for a specific component (Transformer Encoder module) without referencing any particular context or implementation. This suggests that the question can be understood independently, assuming basic knowledge of the topic.
"
"## Using existing models

The pre-trained models on the Hub can be loaded with a single line of code

```py
from sentence_transformers import SentenceTransformer
model = SentenceTransformer('model_name')
```

Here is an example that encodes sentences and then computes the distance between them for doing semantic search.

```py
from sentence_transformers import SentenceTransformer, util
model = SentenceTransformer('multi-qa-MiniLM-L6-cos-v1')

query_embedding = model.encode('How big is London')
passage_embedding = model.encode(['London has 9,787,426 inhabitants at the 2011 census',
                                  'London is known for its finacial district'])

print(""Similarity:"", util.dot_score(query_embedding, passage_embedding))
```

If you want to see how to load a specific model, you can click `Use in sentence-transformers` and you will be given a working snippet that you can load it!

<div class=""flex justify-center"">
<img class=""block dark:hidden"" src=""https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/hub/libraries-sentence_transformers_snippet1.png""/>
<img class=""hidden dark:block"" src=""https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/hub/libraries-sentence_transformers_snippet1-dark.png""/>
</div>
<div class=""flex justify-center"">
<img class=""block dark:hidden"" src=""https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/hub/libraries-sentence_transformers_snippet2.png""/>
<img class=""hidden dark:block"" src=""https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/hub/libraries-sentence_transformers_snippet2-dark.png""/>
</div>

## Sharing your models

You can share your Sentence Transformers by using the `save_to_hub` method from a trained model.

```py
from sentence_transformers import SentenceTransformer

# Load or train a model
model.save_to_hub(""my_new_model"")
```","How do you load a pre-trained model on the Hub with one line of code?
",From the sentence_transformers module.,huggingface/hub-docs/blob/main/docs/hub/sentence-transformers.md,4.0,"The context provides a clear and concise example of how to load a pre-trained model on the Hub with one line of code, using the SentenceTransformers library. It also explains that if you want to see how to load a specific model, you can click ""Use in sentence-transformers"" and get a working snippet. However, it does not explicitly mention what the syntax for loading a pre-trained model is.

",5.0,"This question shows that the user is familiar with the Hugging Face ecosystem, specifically the Transformers library, which is great. The fact that they are looking for a concise solution (one line of code) suggests that they might be interested in productivity and efficiency, which is also relevant to machine learning development.
",5.0,"The question clearly specifies that it's about loading a pre-trained model from Hugging Face's Model Hub, but it doesn't require any additional context to understand what is being asked. The term ""Hub"" and the phrase ""pre-trained model"" are likely to be understood by someone familiar with the concept.

"
"You will find the 5 ported AllenAI models [here](https://huggingface.co/models?filter=allenai&tag=fsmt).

## More scripts

As each ported group of models has its own nuances, I made dedicated scripts to each one of them, so that it will be easy to re-build things in the future or to create new scripts to convert new models. You will find all the conversion, evaluation, and other scripts [here](https://github.com/huggingface/transformers/blob/129fdae04033fe4adfe013b734deaec6ec34ae2e/scripts/fsmt/).



### Model cards

One other important thing is that it's not enough to port a model and make it available to others. One needs to provide information on how to use it, nuances about hyper-parameters, sources of datasets, evaluation metrics, etc. This is all done by creating model cards, which is just a `README.md` file, that starts with some metadata that is used by [the models website](https://huggingface.co/models), followed by all the useful information that can be shared.

For example, let's take [the `facebook/wmt19-en-ru` model card](https://github.com/huggingface/transformers/tree/129fdae04033fe4adfe013b734deaec6ec34ae2e/model_cards/facebook/wmt19-en-ru/README.md). Here is its top:


```
---
language:
- en
- ru
thumbnail:
tags:
- translation
- wmt19
- facebook
license: apache-2.0
datasets:
- wmt19
metrics:
- bleu
---

# FSMT

## Model description

This is a ported version of
[...]
```

As you can see we define the languages, tags, license, datasets, and metrics. There is a full guide for writing these at [Model sharing and uploading](https://huggingface.co/transformers/model_sharing.html#add-a-model-card). The rest is the markdown document describing the model and its nuances.
You can also try out the models directly from the model pages thanks to the Inference widgets. For example for English-to-russian translation: https://huggingface.co/facebook/wmt19-en-ru?text=My+name+is+Diego+and+I+live+in+Moscow.","Where can I find the 5 ported AllenAI models?
",https://huggingface.co/models?filter=allenai&tag=fsmt.,huggingface/blog/blob/main/porting-fsmt.md,5.0,"The context clearly mentions that the 5 ported AllenAI models are available on a specific webpage, which is accessible by clicking on a link provided in the text. Additionally, the model cards section provides information on how to find and use the models, including links to their respective GitHub repositories.

",4.0,"This question appears to be specific and well-defined, indicating that the user has a particular use case or requirement (i.e., finding AllenAI models). The mention of ""ported"" also suggests that the user is looking for models that have been adapted to work with the Hugging Face ecosystem. To answer this question accurately, I would need to know more about the context and what specifically the user means by ""5 ported AllenAI models"". Assuming that there are indeed 5 such models available in the Hugging Face model hub or repository, a knowledgeable response could direct the user to those resources.

",4.0,"The question asks about a specific set of models (AllenAI) that need to be ported, implying they may have been previously discussed or mentioned. However, the term ""ported"" is clear and does not require additional context.

"
"### Contributors Shoutout:

No changes to highlight.

## 3.4

### New Features:

###### 1. Gallery Captions 🖼️

You can now pass captions to images in the Gallery component. To do so you need to pass a {List} of (image, {str} caption) tuples. This is optional and the component also accepts just a list of the images.

Here's an example:

```python
import gradio as gr

images_with_captions = [
    (""https://images.unsplash.com/photo-1551969014-7d2c4cddf0b6"", ""Cheetah by David Groves""),
    (""https://images.unsplash.com/photo-1546182990-dffeafbe841d"", ""Lion by Francesco""),
    (""https://images.unsplash.com/photo-1561731216-c3a4d99437d5"", ""Tiger by Mike Marrah"")
    ]

with gr.Blocks() as demo:
    gr.Gallery(value=images_with_captions)

demo.launch()
```

<img src=""https://user-images.githubusercontent.com/9021060/192399521-7360b1a9-7ce0-443e-8e94-863a230a7dbe.gif"" alt=""gallery_captions"" width=""1000""/>

###### 2. Type Values into the Slider 🔢

You can now type values directly on the Slider component! Here's what it looks like:

![type-slider](https://user-images.githubusercontent.com/9021060/192399877-76b662a1-fede-4417-a932-fc15f0da7360.gif)

###### 3. Better Sketching and Inpainting 🎨

We've made a lot of changes to our Image component so that it can support better sketching and inpainting.

Now supports:

- A standalone black-and-white sketch

```python
import gradio as gr
demo = gr.Interface(lambda x: x, gr.Sketchpad(), gr.Image())
demo.launch()
```

![bw](https://user-images.githubusercontent.com/9021060/192410264-b08632b5-7b2a-4f86-afb0-5760e7b474cf.gif)

- A standalone color sketch

```python
import gradio as gr
demo = gr.Interface(lambda x: x, gr.Paint(), gr.Image())
demo.launch()
```

![color-sketch](https://user-images.githubusercontent.com/9021060/192410500-3c8c3e64-a5fd-4df2-a991-f0a5cef93728.gif)

- An uploadable image with black-and-white or color sketching","What is the format required to pass captions to images in the Gallery component?
","A {List} of (image, {str} caption) tuples.",gradio-app/gradio/blob/main/CHANGELOG.md,5.0,"The context clearly explains how to pass captions to images in the Gallery component, specifying that it requires a list of tuples containing an image URL and its corresponding caption. This information is presented in a straightforward manner, making it easy to understand the required format.

",4.0,"This question appears to be specific to the usage of the Gallery component in a particular context, likely related to an application or framework that utilizes Hugging Face's models and components. The question asks for a format requirement, which suggests it may be seeking technical details about data input or output specifications.
The question's usefulness is limited because it:
- Does not provide enough context about the application or framework being used
- Focuses on a specific component within a broader ecosystem (Hugging Face)
- Asks for a very technical detail that might only be relevant to developers already working with this particular component and its requirements.

However, for someone who is deeply engaged in building NLP applications with the Hugging Face ecosystem, particularly those using components like Gallery, knowing the correct format for passing captions to images could be crucial. Therefore, while it's a narrow and somewhat context-dependent question, it still has value within that specific domain of expertise.

",5.0,"The question refers to a specific UI component (Gallery) but does not require additional context or information about the setting. It can be answered with general knowledge of how captions are passed to images in such components.

"
"```py
>>> from transformers import AutoTokenizer

>>> tokenizer = AutoTokenizer.from_pretrained(""stevhliu/my_awesome_eli5_mlm_model"")
>>> inputs = tokenizer(text, return_tensors=""pt"")
>>> mask_token_index = torch.where(inputs[""input_ids""] == tokenizer.mask_token_id)[1]
```

Pass your inputs to the model and return the `logits` of the masked token:

```py
>>> from transformers import AutoModelForMaskedLM

>>> model = AutoModelForMaskedLM.from_pretrained(""stevhliu/my_awesome_eli5_mlm_model"")
>>> logits = model(**inputs).logits
>>> mask_token_logits = logits[0, mask_token_index, :]
```

Then return the three masked tokens with the highest probability and print them out:

```py
>>> top_3_tokens = torch.topk(mask_token_logits, 3, dim=1).indices[0].tolist()

>>> for token in top_3_tokens:
...     print(text.replace(tokenizer.mask_token, tokenizer.decode([token])))
The Milky Way is a spiral galaxy.
The Milky Way is a massive galaxy.
The Milky Way is a small galaxy.
```
</pt>
<tf>
Tokenize the text and return the `input_ids` as TensorFlow tensors. You'll also need to specify the position of the `<mask>` token:

```py
>>> from transformers import AutoTokenizer

>>> tokenizer = AutoTokenizer.from_pretrained(""stevhliu/my_awesome_eli5_mlm_model"")
>>> inputs = tokenizer(text, return_tensors=""tf"")
>>> mask_token_index = tf.where(inputs[""input_ids""] == tokenizer.mask_token_id)[0, 1]
```

Pass your inputs to the model and return the `logits` of the masked token:

```py
>>> from transformers import TFAutoModelForMaskedLM

>>> model = TFAutoModelForMaskedLM.from_pretrained(""stevhliu/my_awesome_eli5_mlm_model"")
>>> logits = model(**inputs).logits
>>> mask_token_logits = logits[0, mask_token_index, :]
```

Then return the three masked tokens with the highest probability and print them out:

```py
>>> top_3_tokens = tf.math.top_k(mask_token_logits, 3).indices.numpy()","What is the name of the pre-trained model used in the example code for masked language modeling?
","""stevhliu/my_awesome_eli5_mlm_model""",huggingface/transformers/blob/main/docs/source/en/tasks/masked_language_modeling.md,5.0,"The context provides a clear example of using the pre-trained model for masked language modeling. The model is loaded from the specific checkpoint ""stevhliu/my_awesome_eli5_mlm_model"", which suggests that this is the name of the pre-trained model used in the example code.

",4.0,"The question appears to be specific to a particular use case (masked language modeling) and assumes knowledge of the provided example code. Without more context, it's difficult to determine which pre-trained model is being referred to. However, assuming that the example code uses one of the popular models in the Hugging Face ecosystem, this question could still provide useful information for someone trying to reproduce or understand a similar example.

",5.0,"The question assumes some context about an example code, but it does not require any specific knowledge of the code itself or its context. It simply asks for a general piece of information that can be looked up.
"
"### Fixes

- [#5705](https://github.com/gradio-app/gradio/pull/5705) [`78e7cf516`](https://github.com/gradio-app/gradio/commit/78e7cf5163e8d205e8999428fce4c02dbdece25f) - ensure internal data has updated before dispatching `success` or `then` events. Thanks [@pngwn](https://github.com/pngwn)!
- [#5726](https://github.com/gradio-app/gradio/pull/5726) [`96c4b97c7`](https://github.com/gradio-app/gradio/commit/96c4b97c742311e90a87d8e8ee562c6ad765e9f0) - Adjust translation. Thanks [@ylhsieh](https://github.com/ylhsieh)!

## 1.6.1

### Patch Changes

- Updated dependencies [[`ee8eec1e5`](https://github.com/gradio-app/gradio/commit/ee8eec1e5e544a0127e0aa68c2522a7085b8ada5)]:
  - @gradio/markdown@0.2.2
  - @gradio/chatbot@0.4.1
  - @gradio/dataframe@0.2.4

## 1.6.0

### Features

- [#5639](https://github.com/gradio-app/gradio/pull/5639) [`e1874aff8`](https://github.com/gradio-app/gradio/commit/e1874aff814d13b23f3e59ef239cc13e18ad3fa7) - Add `gr.on` listener method. Thanks [@aliabid94](https://github.com/aliabid94)!
- [#5554](https://github.com/gradio-app/gradio/pull/5554) [`75ddeb390`](https://github.com/gradio-app/gradio/commit/75ddeb390d665d4484667390a97442081b49a423) - Accessibility Improvements. Thanks [@hannahblair](https://github.com/hannahblair)!

## 1.5.4

### Features

- [#5514](https://github.com/gradio-app/gradio/pull/5514) [`52f783175`](https://github.com/gradio-app/gradio/commit/52f7831751b432411e109bd41add4ab286023a8e) - refactor: Use package.json for version management. Thanks [@DarhkVoyd](https://github.com/DarhkVoyd)!

## 1.5.3

### Fixes","What was the commit hash that added support for `gr.on` listener method?
",e1874aff8,gradio-app/gradio/blob/main/js/app/CHANGELOG.md,4.0,"The context provides a list of commits, each with a hash and a description of the changes it made. One of these commits added support for the `gr.on` listener method, but its commit hash is not explicitly linked to the feature description.

",4.0,"This question seems to be very specific to a particular implementation detail of a library or framework, likely Transformers from the Hugging Face ecosystem. The mention of ""commit hash"" suggests that it's related to the development history of the project, and the `gr.on` listener method is likely part of the pipeline architecture in Transformers. A developer asking this question might be trying to troubleshoot an issue with their custom pipeline or understand how a specific feature was added.
",5.0,"This question refers to specific technical information (commit hash and a particular method) without requiring additional context, making it understandable by someone familiar with Git or Gradio documentation.
"
"!--Copyright 2021 The HuggingFace Team. All rights reserved.

Licensed under the Apache License, Version 2.0 (the ""License""); you may not use this file except in compliance with
the License. You may obtain a copy of the License at

http://www.apache.org/licenses/LICENSE-2.0

Unless required by applicable law or agreed to in writing, software distributed under the License is distributed on
an ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the License for the
specific language governing permissions and limitations under the License.

⚠️ Note that this file is in Markdown but contain specific syntax for our doc-builder (similar to MDX) that may not be
rendered properly in your Markdown viewer.

-->

# WavLM

## Overview

The WavLM model was proposed in [WavLM: Large-Scale Self-Supervised Pre-Training for Full Stack Speech Processing](https://arxiv.org/abs/2110.13900) by Sanyuan Chen, Chengyi Wang, Zhengyang Chen, Yu Wu, Shujie Liu, Zhuo Chen,
Jinyu Li, Naoyuki Kanda, Takuya Yoshioka, Xiong Xiao, Jian Wu, Long Zhou, Shuo Ren, Yanmin Qian, Yao Qian, Jian Wu,
Michael Zeng, Furu Wei.

The abstract from the paper is the following:","Who are the authors of WavLM model?
","Sanyuan Chen, Chengyi Wang, Zhengyang Chen, Yu Wu, Shujie Liu, Zhuo Chen, Jinyu Li, Naoyuki Kanda, Takuya Yoshioka, Xiong Xiao, Jian Wu, Long Zhou, Shuo Ren, Yanmin Qian, Yao Qian, Jian Wu, Michael Zeng, Furu Wei.",huggingface/transformers/blob/main/docs/source/en/model_doc/wavlm.md,5.0,"The context provides a clear mention of the authors of the WavLM model in the ""Overview"" section, listing their names and affiliations.
",4.0,"This question seems to be asking about the origin or creators of a specific NLP model, which is relevant information that can help with understanding the context and potential biases of the model. The answer would likely involve citing the original research paper or publication where the WavLM model was introduced, which can provide valuable insights for developers building upon this model.
",5.0,"The question refers to a specific entity (the WavLM model), but it does not require additional context or information from outside sources. It can be answered based solely on knowledge about the model, such as documentation or articles about it.
"
"## 进行预测

进行预测的最简单方法就是使用适当的参数调用`.predict()`方法：

```js
import { client } from ""@gradio/client"";

const app = await client(""abidlabs/en2fr"");
const result = await app.predict(""/predict"", [""Hello""]);
```

如果有多个参数，您应该将它们作为一个数组传递给`.predict()`，像这样：

```js
import { client } from ""@gradio/client"";

const app = await client(""gradio/calculator"");
const result = await app.predict(""/predict"", [4, ""add"", 5]);
```

对于某些输入，例如图像，您应该根据所需要的方便程度传入`Buffer`、`Blob`或`File`。在Node.js中，可以使用`Buffer`或`Blob`；在浏览器环境中，可以使用`Blob`或`File`。

```js
import { client } from ""@gradio/client"";

const response = await fetch(
	""https://audio-samples.github.io/samples/mp3/blizzard_unconditional/sample-0.mp3""
);
const audio_file = await response.blob();

const app = await client(""abidlabs/whisper"");
const result = await client.predict(""/predict"", [audio_file]);
```

## 使用事件

如果您使用的API可以随时间返回结果，或者您希望访问有关作业状态的信息，您可以使用事件接口获取更大的灵活性。这对于迭代的或生成器的端点特别有用，因为它们会生成一系列离散的响应值。

```js
import { client } from ""@gradio/client"";

function log_result(payload) {
	const {
		data: [translation]
	} = payload;

	console.log(`翻译结果为：${translation}`);
}

const app = await client(""abidlabs/en2fr"");
const job = app.submit(""/predict"", [""Hello""]);

job.on(""data"", log_result);
```

## 状态

事件接口还可以通过监听`""status""`事件来获取运行作业的状态。这将返回一个对象，其中包含以下属性：`status`（当前作业的人类可读状态，`""pending"" | ""generating"" | ""complete"" | ""error""`），`code`（作业的详细gradio code），`position`（此作业在队列中的当前位置），`queue_size`（总队列大小），`eta`（作业完成的预计时间），`success`（表示作业是否成功完成的布尔值）和`time`（作业状态生成的时间，是一个`Date`对象）。

```js
import { client } from ""@gradio/client"";

function log_status(status) {
	console.log(`此作业的当前状态为：${JSON.stringify(status, null, 2)}`);
}

const app = await client(""abidlabs/en2fr"");
const job = app.submit(""/predict"", [""Hello""]);

job.on(""status"", log_status);
```

## 取消作业

作业实例还具有`.cancel()`方法，用于取消已排队但尚未启动的作业。例如，如果您运行以下命令：

```js
import { client } from ""@gradio/client"";","What is the method to call for making predictions in @gradio/client?
",.predict(),gradio-app/gradio/blob/main/guides/cn/06_client-libraries/02_getting-started-with-the-js-client.md,5.0,"The context provided explicitly states the method to call for making predictions in @gradio/client, which is `.predict()`. It also mentions that if there are multiple parameters, they should be passed as an array. Additionally, it covers how to handle different types of input, such as images, and how to use the event interface to get more flexibility with API calls. The context also explains how to check the status of a job and cancel it.

",4.0,"This question appears to be seeking information on how to use the Gradio library, specifically the `@gradio/client` module, to make predictions. While it's a relatively specific and narrow question, understanding how to interact with the client module is crucial for utilizing Gradio in NLP applications that involve making predictions.

",5.0,"The question refers to a specific technical term (@gradio/client) but makes it clear that it's asking about a general method or process. Additionally, the context of Gradio is well-defined and not ambiguous, so an operator with access to documentation would understand what is being asked without needing additional information.

"
"and you can reload your tokenizer from that file with the
`Tokenizer.from_file`
`classmethod`:

<tokenizerslangcontent>
<python>
<literalinclude>
{""path"": ""../../bindings/python/tests/documentation/test_quicktour.py"",
""language"": ""python"",
""start-after"": ""START reload_tokenizer"",
""end-before"": ""END reload_tokenizer"",
""dedent"": 12}
</literalinclude>
</python>
<rust>
<literalinclude>
{""path"": ""../../tokenizers/tests/documentation.rs"",
""language"": ""rust"",
""start-after"": ""START quicktour_reload_tokenizer"",
""end-before"": ""END quicktour_reload_tokenizer"",
""dedent"": 4}
</literalinclude>
</rust>
<node>
<literalinclude>
{""path"": ""../../bindings/node/examples/documentation/quicktour.test.ts"",
""language"": ""js"",
""start-after"": ""START reload_tokenizer"",
""end-before"": ""END reload_tokenizer"",
""dedent"": 8}
</literalinclude>
</node>
</tokenizerslangcontent>

### Using the tokenizer

Now that we have trained a tokenizer, we can use it on any text we want
with the `Tokenizer.encode` method:

<tokenizerslangcontent>
<python>
<literalinclude>
{""path"": ""../../bindings/python/tests/documentation/test_quicktour.py"",
""language"": ""python"",
""start-after"": ""START encode"",
""end-before"": ""END encode"",
""dedent"": 8}
</literalinclude>
</python>
<rust>
<literalinclude>
{""path"": ""../../tokenizers/tests/documentation.rs"",
""language"": ""rust"",
""start-after"": ""START quicktour_encode"",
""end-before"": ""END quicktour_encode"",
""dedent"": 4}
</literalinclude>
</rust>
<node>
<literalinclude>
{""path"": ""../../bindings/node/examples/documentation/quicktour.test.ts"",
""language"": ""js"",
""start-after"": ""START encode"",
""end-before"": ""END encode"",
""dedent"": 8}
</literalinclude>
</node>
</tokenizerslangcontent>

This applied the full pipeline of the tokenizer on the text, returning
an `Encoding` object. To learn more
about this pipeline, and how to apply (or customize) parts of it, check out [this page](pipeline).","How can you reload a trained tokenizer in Python?
",With the Tokenizer.from_file classmethod.,huggingface/tokenizers/blob/main/docs/source-doc-builder/quicktour.mdx,5.0,"The provided context explicitly mentions that a trained tokenizer can be reloaded from a file using the `Tokenizer.from_file` class method. This method is specifically shown in one of the code examples in the context, which makes it clear how to reload a trained tokenizer.
",5.0,"This question is extremely useful because it shows an understanding of how to interact with pre-trained models in the Hugging Face ecosystem, which is a key aspect of NLP development. The ability to reload a trained tokenizer is crucial for applications where model performance needs to be fine-tuned or updated without having to retrain the entire model from scratch.
",5.0,"This question does not depend on any additional information or context, as it is a clear and concise inquiry about a specific task related to tokenizers in Python.
"
"sim = einsum(""b h d i, b h d j -> b h i j"", q, k)
        sim = sim - sim.amax(dim=-1, keepdim=True).detach()
        attn = sim.softmax(dim=-1)

        out = einsum(""b h i j, b h d j -> b h i d"", attn, v)
        out = rearrange(out, ""b h (x y) d -> b (h d) x y"", x=h, y=w)
        return self.to_out(out)

class LinearAttention(nn.Module):
    def __init__(self, dim, heads=4, dim_head=32):
        super().__init__()
        self.scale = dim_head**-0.5
        self.heads = heads
        hidden_dim = dim_head * heads
        self.to_qkv = nn.Conv2d(dim, hidden_dim * 3, 1, bias=False)

        self.to_out = nn.Sequential(nn.Conv2d(hidden_dim, dim, 1),
                                    nn.GroupNorm(1, dim))

    def forward(self, x):
        b, c, h, w = x.shape
        qkv = self.to_qkv(x).chunk(3, dim=1)
        q, k, v = map(
            lambda t: rearrange(t, ""b (h c) x y -> b h c (x y)"", h=self.heads), qkv
        )

        q = q.softmax(dim=-2)
        k = k.softmax(dim=-1)

        q = q * self.scale
        context = torch.einsum(""b h d n, b h e n -> b h d e"", k, v)

        out = torch.einsum(""b h d e, b h d n -> b h e n"", context, q)
        out = rearrange(out, ""b h c (x y) -> b (h c) x y"", h=self.heads, x=h, y=w)
        return self.to_out(out)
```

### Group normalization

The DDPM authors interleave the convolutional/attention layers of the U-Net with group normalization ([Wu et al., 2018](https://arxiv.org/abs/1803.08494)). Below, we define a `PreNorm` class, which will be used to apply groupnorm before the attention layer, as we'll see further. Note that there's been a [debate](https://tnq177.github.io/data/transformers_without_tears.pdf) about whether to apply normalization before or after attention in Transformers.

```python
class PreNorm(nn.Module):
    def __init__(self, dim, fn):
        super().__init__()
        self.fn = fn
        self.norm = nn.GroupNorm(1, dim)","What is the dimension used for group normalization in the `PreNorm` class?
",1,huggingface/blog/blob/main/annotated-diffusion.md,4.0,"The context describes a `PreNorm` class that applies group normalization before an attention layer. However, the specific dimension used for group normalization in the `PreNorm` class is not explicitly mentioned in the code or context. Nevertheless, we can infer from the code that group normalization is applied to the same dimension as the input data, which is `dim`. This makes it unambiguous how to determine the correct dimension.

",4.0,"This question is quite specific to the Hugging Face ecosystem, specifically asking about a particular implementation detail of the `PreNorm` class. It suggests that the person asking this question is familiar with the library and is looking for information on how to use it correctly.
The fact that they're asking about group normalization dimension suggests they want to understand how to apply this technique in their NLP model, which indicates a practical goal rather than just theoretical curiosity.

",5.0,"The question clearly asks about a specific concept within the context of a particular code or framework (likely referring to some machine learning implementation), but it does not reference any external, unspecified information. It directly refers to the `PreNorm` class and a specific operation within that class (group normalization) without implying any external context other than what would be typically understood from the question itself.
"
